full_name, description, language, topics, license_name, stargazers_count, forks_count, homepage, html_url, open_issues_count, name, owner_name, owner_avatar_url, created_at, starred_at, updated_at, pushed_at, fork, archived
"ba0gu0/wps-rce","WPS Office RCE On 2023-08-10","Python","","MIT License",24,9,,"https://github.com/ba0gu0/wps-rce",0,"wps-rce","ba0gu0","https://avatars.githubusercontent.com/u/19379443?v=4","2023-08-11T09:37:12Z","2023-08-11T20:59:47Z","2023-08-12T03:51:29Z","2023-08-11T13:49:33Z",false,false
"XiaoTouMingyo/UE4ForeachClass","UE4遍历类名工具","C++","",,13,5,,"https://github.com/XiaoTouMingyo/UE4ForeachClass",0,"UE4ForeachClass","XiaoTouMingyo","https://avatars.githubusercontent.com/u/36424999?v=4","2022-12-30T07:49:34Z","2023-08-11T20:51:33Z","2023-08-12T00:48:55Z","2023-01-29T06:11:07Z",false,false
"BigWhite666/UE4ImguiDumper",,"C++","","Apache License 2.0",14,5,,"https://github.com/BigWhite666/UE4ImguiDumper",0,"UE4ImguiDumper","BigWhite666","https://avatars.githubusercontent.com/u/141211205?v=4","2023-08-07T11:15:29Z","2023-08-11T20:51:10Z","2023-08-12T03:06:45Z","2023-08-08T09:59:34Z",false,false
"FuzzySecurity/BHUSA-2023",,,"",,48,4,,"https://github.com/FuzzySecurity/BHUSA-2023",0,"BHUSA-2023","FuzzySecurity","https://avatars.githubusercontent.com/u/10997340?v=4","2023-08-10T16:51:11Z","2023-08-11T13:32:01Z","2023-08-12T04:27:42Z","2023-08-10T16:51:34Z",false,false
"DLTcollab/sse2neon","A translator from Intel SSE intrinsics to Arm/Aarch64 NEON implementation","C++","aarch64, apple-silicon, arm, arm64, armv7l, armv8, armv8-a, biilabs, intel-intrinsics, intel-sse-intrinsics, neon, neon-intrinsics, simd, sse, sse-intrinsics, sse2neon, x86","MIT License",1002,172,"","https://github.com/DLTcollab/sse2neon",9,"sse2neon","DLTcollab","https://avatars.githubusercontent.com/u/40378901?v=4","2018-05-28T05:24:04Z","2023-08-11T12:02:08Z","2023-08-11T12:02:08Z","2023-08-04T01:00:05Z",false,false
"flowyroll/downfall",,"C","",,235,22,,"https://github.com/flowyroll/downfall",3,"downfall","flowyroll","https://avatars.githubusercontent.com/u/3702907?v=4","2023-07-20T20:57:50Z","2023-08-09T22:20:11Z","2023-08-12T00:18:41Z","2023-08-11T11:42:30Z",false,false
"Amulab/CAudit","集权设施扫描器","Python","",,176,25,"","https://github.com/Amulab/CAudit",1,"CAudit","Amulab","https://avatars.githubusercontent.com/u/86412102?v=4","2023-04-11T10:31:25Z","2023-08-09T10:21:06Z","2023-08-12T04:22:50Z","2023-08-07T06:38:48Z",false,false
"Oxygen1a1/oxgenPdb","a Windows kernel Pdb parsing and downloading library that running purely in kernel mode without any R3 programs.","C++","",,36,22,,"https://github.com/Oxygen1a1/oxgenPdb",1,"oxgenPdb","Oxygen1a1","https://avatars.githubusercontent.com/u/98365671?v=4","2023-08-07T11:22:45Z","2023-08-09T07:20:56Z","2023-08-12T02:11:46Z","2023-08-07T11:23:52Z",false,false
"Oxygen1a1/kcrypt","an encryption library designed for Windows kernel and driver programming","C++","",,60,22,,"https://github.com/Oxygen1a1/kcrypt",0,"kcrypt","Oxygen1a1","https://avatars.githubusercontent.com/u/98365671?v=4","2023-08-04T09:32:04Z","2023-08-09T07:20:52Z","2023-08-12T03:05:36Z","2023-08-04T09:38:48Z",false,false
"Phuong39/cf","云环境利用框架（Cloud exploitation framework）主要用来方便红队人员在获得 AK 的后续工作。","Go","","Apache License 2.0",16,443,,"https://github.com/Phuong39/cf",0,"cf","Phuong39","https://avatars.githubusercontent.com/u/84000895?v=4","2022-07-01T06:29:25Z","2023-08-09T07:20:44Z","2023-08-11T01:20:31Z","2023-04-29T11:31:38Z",false,false
"ccfos/nightingale","An enterprise-level cloud-native observability solution, which can be used as drop-in replacement of Prometheus for alerting and Grafana for visualization.","Go","alerting, ccf, metrics, monitoring, nightingale, observability, open-falcon, time-series, tsdb","Apache License 2.0",6711,1127,"https://n9e.github.io","https://github.com/ccfos/nightingale",47,"nightingale","ccfos","https://avatars.githubusercontent.com/u/96813578?v=4","2020-03-03T17:08:26Z","2023-08-08T17:48:36Z","2023-08-12T03:44:41Z","2023-08-11T11:25:09Z",false,false
"wanghongenpin/network_proxy_flutter","开源免费抓包软件ProxyPin，支持全平台系统，用flutter框架开发","Dart","flutter, proxy, proxypin, zhuabao","Apache License 2.0",955,68,"","https://github.com/wanghongenpin/network_proxy_flutter",10,"network_proxy_flutter","wanghongenpin","https://avatars.githubusercontent.com/u/24794200?v=4","2023-06-05T11:16:00Z","2023-08-08T11:26:00Z","2023-08-11T16:54:51Z","2023-08-11T08:48:09Z",false,false
"iyzyi/MUA-Remote-Access-Trojan-V2","MUA远控木马V2，MUA Remote Access Trojan V2","C++","",,32,5,,"https://github.com/iyzyi/MUA-Remote-Access-Trojan-V2",0,"MUA-Remote-Access-Trojan-V2","iyzyi","https://avatars.githubusercontent.com/u/49014178?v=4","2023-03-09T13:32:53Z","2023-08-08T08:17:12Z","2023-08-11T21:00:38Z","2023-03-09T13:32:58Z",false,false
"DoranekoSystems/razy_importer","Rust implementation of lazy_importer",,"","Apache License 2.0",2,0,"","https://github.com/DoranekoSystems/razy_importer",0,"razy_importer","DoranekoSystems","https://avatars.githubusercontent.com/u/96031346?v=4","2023-07-30T06:45:22Z","2023-08-07T18:30:57Z","2023-08-07T18:30:58Z","2023-07-30T06:30:24Z",true,false
"gentilkiwi/kekeo","A little toolbox to play with Microsoft Kerberos in C","C","",,1262,213,,"https://github.com/gentilkiwi/kekeo",13,"kekeo","gentilkiwi","https://avatars.githubusercontent.com/u/2307945?v=4","2015-01-13T21:24:09Z","2023-08-07T18:20:11Z","2023-08-10T11:20:59Z","2021-12-14T10:56:48Z",false,false
"geekan/MetaGPT","🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo","Python","agent, gpt, llm, metagpt","MIT License",19131,2082,"","https://github.com/geekan/MetaGPT",103,"MetaGPT","geekan","https://avatars.githubusercontent.com/u/2707039?v=4","2023-06-30T09:04:55Z","2023-08-07T18:19:58Z","2023-08-12T05:04:40Z","2023-08-12T04:26:56Z",false,false
"Hendi48/Magicmida","Themida unpacker","Pascal","",,179,53,,"https://github.com/Hendi48/Magicmida",10,"Magicmida","Hendi48","https://avatars.githubusercontent.com/u/32822533?v=4","2021-12-25T18:16:42Z","2023-08-07T11:49:48Z","2023-08-07T12:47:48Z","2023-03-26T18:07:24Z",false,false
